date,prices,headlines,y
2007-02-06,"[16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71]","[ 0.06050532  0.05463506 -0.04599144 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-02-07,"[16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03]","[ 0.06050532  0.05463506 -0.04599144 ... -0.13733062 -0.03002818
  0.05240111]",1
2007-02-08,"[16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88]","[ 0.06147951 -0.00487562 -0.02325295 ... -0.00964984  0.01761241
  0.03545844]",0
2007-02-09,"[16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-02-12,"[16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-02-13,"[15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72]","[-0.01058661  0.00531265  0.00233879 ... -0.00182196 -0.15311843
  0.0166001 ]",1
2007-02-14,"[15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.13733062 -0.03002818
  0.05240111]",1
2007-02-15,"[15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25]","[ 0.06050532  0.05463506 -0.04599144 ... -0.13733062 -0.03002818
  0.05240111]",1
2007-02-16,"[15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08]","[-0.01057415  0.00528063  0.00232116 ... -0.13733062 -0.03002818
  0.05240111]",1
2007-02-20,"[15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89]","[-0.01057415  0.00528063  0.00232116 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
2007-02-21,"[15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.13744428 -0.02987583
  0.05255981]",0
2007-02-22,"[15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22]","[ 0.06050532  0.05463506 -0.04599144 ... -0.13733062 -0.03002818
  0.05240111]",0
2007-02-23,"[15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19]","[-0.01057415  0.00528063  0.00232116 ... -0.13733062 -0.03002818
  0.05240111]",0
2007-02-26,"[15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17]","[ 0.09886807  0.02284268 -0.04297665 ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-02-27,"[15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05]","[ 0.03419084  0.02544612 -0.0127739  ... -0.0414517  -0.11436293
 -0.00777371]",0
2007-02-28,"[15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77]","[ 0.03230318 -0.04611415 -0.02040609 ...  0.04537871 -0.02979233
  0.00855871]",1
2007-03-01,"[15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69]","[ 0.06050532  0.05463506 -0.04599144 ... -0.13733062 -0.03002818
  0.05240111]",0
2007-03-02,"[15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88]","[ 0.05597735  0.0043414   0.05835421 ... -0.03669126 -0.01847207
  0.08066515]",0
2007-03-05,"[15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99]","[ 0.08134506  0.17481211 -0.03910411 ... -0.13733062 -0.03002818
  0.05240111]",0
2007-03-06,"[16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65, 16321.71, 16168.03, 16395.88, 16360.18, 16421.89, 16452.72, 16418.68, 16351.25, 16340.08, 16108.89, 16065.67, 16247.22, 16336.19, 16222.17, 16331.05, 16302.77, 16276.69, 16367.88, 16268.99, 16264.23]","[-0.01057447  0.00536138  0.00233896 ... -0.13733062 -0.03002818
  0.05240111]",1
