date,prices,headlines,y
2018-02-22,"[24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27]","[ 0.01899552 -0.01763781  0.01196631 ...  0.08082705 -0.01722674
  0.0300233 ]",1
2018-02-23,"[24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31]","[ 0.04746825 -0.05242409 -0.04237755 ...  0.06362873 -0.01904295
 -0.0410999 ]",1
2018-02-26,"[23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89]","[ 0.03559174 -0.01958126 -0.03805936 ...  0.0124821  -0.03089057
 -0.08296924]",1
2018-02-27,"[24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2]","[ 0.12815403 -0.01625787  0.05472317 ... -0.09202109  0.04797175
 -0.01121468]",0
2018-02-28,"[24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6]","[-0.00632381  0.04001109  0.12393903 ...  0.0114363  -0.04246024
  0.02243823]",0
2018-03-01,"[24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71]","[ 0.02260188 -0.03109337  0.05498949 ...  0.0427188   0.00226077
  0.01378652]",0
2018-03-02,"[24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42]","[-0.04789508 -0.0536481   0.10963483 ... -0.02374861  0.01634868
  0.04929189]",0
2018-03-05,"[25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11]","[ 0.01935723  0.00054923  0.12146309 ... -0.05080021 -0.02605577
  0.03631844]",1
2018-03-06,"[25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19]","[ 0.06333088 -0.03819171  0.09413485 ...  0.04094025  0.032118
  0.00408147]",1
2018-03-07,"[24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36]","[ 0.01608568 -0.06487013  0.01725914 ... -0.05910249  0.02397503
  0.03157161]",0
2018-03-08,"[24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3]","[ 0.03508604 -0.01480401  0.12858646 ...  0.0538324   0.05695778
  0.05739591]",1
2018-03-09,"[24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22]","[-0.05717088 -0.04966424  0.06524766 ...  0.06739384  0.01764623
 -0.08477812]",1
2018-03-12,"[25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76]","[ 0.05284719 -0.07350436 -0.00376164 ...  0.03473189 -0.04225404
  0.0345152 ]",0
2018-03-13,"[25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1]","[ 0.08576516 -0.0742168   0.00126972 ... -0.06238413 -0.0666712
 -0.03831253]",0
2018-03-14,"[25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0]","[ 0.05531513 -0.00434949  0.04988187 ... -0.05691891  0.01129432
  0.00095051]",0
2018-03-15,"[25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0, 24189.45]","[ 0.04536211 -0.05541816 -0.01082536 ...  0.03058564  0.03748673
  0.03445025]",1
2018-03-16,"[24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0, 24189.45, 24483.05]","[-0.04848286  0.00513089  0.07832619 ...  0.05515657 -0.00931062
 -0.01583198]",1
2018-03-19,"[24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0, 24189.45, 24483.05, 24360.14]","[ 0.08077061  0.03076845  0.10159343 ...  0.02819209  0.02737737
 -0.08242711]",0
2018-03-20,"[24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0, 24189.45, 24483.05, 24360.14, 24573.04]","[ 0.06159501  0.00353821  0.1043196  ... -0.01362839  0.06492367
 -0.04929207]",1
2018-03-21,"[24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0, 24189.45, 24483.05, 24360.14, 24573.04, 24786.63]","[-0.00120779 -0.02909437  0.07067581 ... -0.06065857  0.022497
  0.04357752]",0
2018-03-22,"[24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0, 24189.45, 24483.05, 24360.14, 24573.04, 24786.63, 24748.07]","[ 0.02602917  0.02745314  0.13926697 ...  0.12506356 -0.02547026
  0.04004648]",0
2018-03-23,"[24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91, 24727.27, 24682.31, 23957.89, 23533.2, 24202.6, 23857.71, 23848.42, 24103.11, 23644.19, 24033.36, 24264.3, 24505.22, 23932.76, 23979.1, 24408.0, 24189.45, 24483.05, 24360.14, 24573.04, 24786.63, 24748.07, 24664.89]","[ 0.08882943 -0.02510336  0.03113207 ... -0.02072713 -0.0008705
 -0.02328118]",0
